title,specs,price,image,link
"Amazon Basics 12-inch Professional LED Ring Light with Tripod Stand | 3 Color Temperature Modes | 10 Brightness Settings | Suitable for Photoshoot, Makeup, Videography",Professional LED Ring Light with Tripod Stand | 3,387,https://m.media-amazon.com/images/I/51q8y-lRpbL._AC_UY218_.jpg,https://www.amazon.in/Professional-Temperature-Brightness-Photoshoot-Videography/dp/B0D7Q3JWF7/ref=sr_1_94?tag=nira6studio-21
"Canon EOS R6 Mark II Mirrorless Camera with RF 24-105mm f/4-7.1 is STM Lens | 24.2MP Full-Frame CMOS Sensor, 4K 60p Video, Dual Pixel CMOS AF II with Shoulder Bag and 64GB Card",Mark II Mirrorless Camera with RF 24-105mm f/4-7.1 is,"4,29,773",https://m.media-amazon.com/images/I/816MfWlz23L._AC_UY218_.jpg,https://www.amazon.in/Canon-EOS-R6-Mark-II/dp/B0FGKY6WHV/ref=sr_1_95?tag=nira6studio-21
MANOMAY Cameras Mini PT Variation (B0GVK7ZP26),PT Variation (B0GVK7ZP26),"3,499",https://m.media-amazon.com/images/I/41NDemfz0DL._AC_UY218_.jpg,https://www.amazon.in/MANOMAY-Security-Tracking-Detection-Compatible/dp/B0GVK7ZP26/ref=sr_1_96?tag=nira6studio-21
"GoPro HERO13 Black in Polar White Limited Edition - Waterproof Action Camera with 5.3K60 Video, 27MP Photo + Compatability with HB-Series Lenses(1-Yr International+1-Yr India Warranty)",in Polar White Limited Edition - Waterproof Action Camera,"37,990",https://m.media-amazon.com/images/I/71er1wbJa8L._AC_UY218_.jpg,https://www.amazon.in/GoPro-HERO13-Black-Polar-Limited/dp/B0F5QR761K/ref=sr_1_97?tag=nira6studio-21
Nikon Digital Camera Z5II KIT with 24-200MM F/4-6.3 Lens with EN-EL15C & MH-25A,Z5II KIT with 24-200MM F/4-6.3 Lens with EN-EL15C &,"1,65,015",https://m.media-amazon.com/images/I/41MYCQkmPFL._AC_UY218_.jpg,https://www.amazon.in/Digital-Camera-24-200MM-EN-EL15C-MH-25A/dp/B0F6CKLD2C/ref=sr_1_98?tag=nira6studio-21
"Sony Alpha ILCE-7C Compact Full Frame Camera | 4K with Flip Screen, Light Weight | Real time Tracking | Content Creation - Black","Compact Full Frame Camera | 4K with Flip Screen,","1,25,490",https://m.media-amazon.com/images/I/61vsBx-xZHL._AC_UY218_.jpg,https://www.amazon.in/Sony-ILCE-7C-Compact-Tracking-Creation/dp/B08PVQK7CJ/ref=sr_1_99?tag=nira6studio-21
"Bosch Professional Thermal Imaging Camera GTC 600 C (12V Battery, With App Function, Temperature Range: -20°C To +600°C, Resolution:256 X 192px, Protective Bag) Set By Skyking","Imaging Camera GTC 600 C (12V Battery, With App","1,07,800",https://m.media-amazon.com/images/I/614ChH02xxL._AC_UY218_.jpg,https://www.amazon.in/Bosch-Professional-Thermal-Function-Temperature/dp/B0D8TMRSJQ/ref=sr_1_100?tag=nira6studio-21
Nikon Z 6II Full Frame Mirrorless Camera Kit with NIKKOR Z 24-105mm f/4-7.1 Lens (Local Kit) | 24.5MP FX Sensor | Dual EXPEED 6 | 4K UHD Video | Dual Card Slots | Fast Autofocus,Full Frame Mirrorless Camera Kit with NIKKOR Z 24-105mm,"1,65,990",https://m.media-amazon.com/images/I/51zbex-RsvL._AC_UY218_.jpg,https://www.amazon.in/Nikon-Mirrorless-Camera-24-105mm-Autofocus/dp/B0GKH59J3R/ref=sr_1_100?tag=nira6studio-21
Fujifilm X-S20 Mirrorless Digital Camera XC15-45mm Lens Kit Black,Digital Camera XC15-45mm Lens Kit Black,"2,96,870",https://m.media-amazon.com/images/I/7157PLVIyTL._AC_UY218_.jpg,https://www.amazon.in/Fujifilm-Mirrorless-Digital-Camera-XC15-45mm/dp/B0C5PNRYHQ/ref=sr_1_102?tag=nira6studio-21
"smars 3MP HD WiFi Bullet Camera | IP66 Waterproof for Outdoor use| Color Night Vision | Two-Way Audio | SD Card Storage | Ideal for Home, Office & Shop Security.",WiFi Bullet Camera | IP66 Waterproof for Outdoor use|,"1,899",https://m.media-amazon.com/images/I/51CKh5voQ+L._AC_UY218_.jpg,https://www.amazon.in/smars-IP66-Waterproof-Outdoor-Security/dp/B0G1SS2Q2S/ref=sr_1_103?tag=nira6studio-21
